/////////////////////////////////////////////////////////////////////////////////////////////////////
/////角色ー定义//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
//000 拉古那		 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19 01		红发的热血宝物猎人。\n驾驶爱机特里斯坦号四处旅行。
204 幼年蠕虫	 	 EN_204  203  3 01	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   48	会与伙伴合力向对手猛扑过去的蠕虫。\n因为是幼虫，所以智力相对低下。
208 大耳兽		 EN_208  208  3 01	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ----   52	过着群居生活的大耳兽。\n虽然非常弱小，但常被\n当作宠物饲养。
100 啄岩鸟		 EN_100  100  3 02	TxM2	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   01	喙如同岩石一般坚硬的怪鸟。\n会持续进行游击战。
216 地微子			 EN_216  216  3 02	T+H4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   60	掌管大地的精灵结晶体。\n主食为矿石碎片。
209 哥雷姆		 EN_209  209  3 03	B2		100 0  0  	---*|*-*-|----|----		0 0	0 ---- 0 ---- 0 ----   53	由魔法所创造出来的人型石像。\n会锤击地面引发冲击波。
101 石虫		 EN_101  101  3 03	-----	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   02	由废弃石块所连接构成的魔物。\n经常使用高速旋转攻击。
123 白貂	 EN_123  123  3 03	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   09	能将镰刀如同回旋镖\n一般投出的白貂。
203 蠕虫			 EN_203  203  3 03	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   47	会与同伴合力向对手猛扑过去的蠕虫。\n具有死亡时产下幼虫的习性。
112 地雷岩怪		 EN_112  112  3 03	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   07	生长在迷宫地面上的地雷。\n有时会爆炸产生气浪，务必注意。
139 沙鼹鼠		 EN_139  139  3 03	-----	0   0  0 	---*|----|----|----		0 0	0 ---- 0 ---- 0 ----   22	生活在砂土中的鼹鼠型魔物。\n能利用卷起的沙尘进行攻击。

//废坑ボス6
350 巨型蓝色啫喱 EN_350  350  3 03	S+K2	250 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 114	由众多蓝色啫喱合体后形成的魔物。\n体型巨大，攻击力也很高。
357 巨型暗夜蝙蝠	 EN_357  357  3 04	M2   	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 120	积蓄了足够大的暗黑力量的巨型蝙蝠。\n其擅长使用的超声波能轻松将人击退。
352 小型哥雷姆	 EN_352  352  3 05	-----	50  0  0   	----|----|----|----		10 0 0 ---- 0 ---- 0 ---- 116	使用制造哥雷姆剩余石材做出的魔物。\n即便如此，其气势也是不弱的。
403 阿库瑟罗布	 BS_403  403  3 03	BxGxMxKx 900 0 0	---*|****|**--|----		10 0 0 ---- 0 ---- 0 ---- 136	在废坑深处作巢的巨型蜘蛛魔物。\n其六条粗重的腿足以撼动大地。
158 双头地龙		 EN_158  158  3 37	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  37	被称为『双头地龙』。\n会用俩个头交替喷出火球。
162 夜之领主	 EN_162  162  3 47	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  41	没有真祖血统的吸血鬼之王。\n可惜总是执迷不悟。

//神殿ザコ11
251 魔族蝙蝠		 EN_251  251  3 05	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   81	魔族的其中一种使魔。\n能利用妨碍听觉的超声波\n轻松解决小型猎物。
205 电击水母	 EN_205  205  3 04	K2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   49	一边远离对手一边放电的水母型魔物。\n注意不要被其触手碰到。
302 飞跳蜥蜴		 EN_302  302  3 04	K2		0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ----  103	总是像弹簧一样跳来跳去的\n奇特蜥蜴。几乎不会步行，\n只利用跳跃进行移动。
168 剑鱼 EN_168  168  3 04	SH		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   45	全身被利刃包裹的鱼型魔物。\n性格粗暴，受到攻击就会\n发怒并开始追击对手。
211 电击魔鬼鱼	 EN_211  211  3 06	K2SH	75  0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   55	身体带电的鱼型魔兽。\n和人类很亲近，但\n碰到它就会触电。
134 岩背蛙		 EN_134  134  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   17	身体表面如同岩石一般坚硬。\n能够巧妙的进行远距离\n和近距离的攻击巧。
250 雌性大耳兽		 EN_250  208  3 05	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ----   80	花饰是雌性大耳兽最大的魅力点，\n但其凶暴程度远比雄性高。
217 水微子			 EN_217  217  3 05 	S+K4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   61	掌管水流的精灵结晶体。\n主食为水中的泡沫。
127 钳蟹		 EN_127  127  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   12	拥有引潮能力的蟹型魔兽。\n要注意它会向前移动。
137 壶怪	 EN_137  137  3 06	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   20	伪装成壶子的魔物。\n有人接近时会突然动起来\n并咬住对方的手。
129 鲨鱼人	 EN_129  129  3 06	-----	50  0  0 	-*--|--*-|----|----		0 0	0 ---- 0 ---- 0 ----   14	凶猛的鲨鱼人。\n会使用可怕的利齿袭击猎物。

//神殿ボス6
351 高压水母	 EN_351  351  3 06	K2		250 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 115	食用了捡到的食物之后发生变异的水母\n其电压是电击水母的数十倍。
354 食人鱼 EN_354  354  3 07	K2SH	250 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 118	疯狂捕食其他鱼类，\n体型大幅成长的剑鱼。\n其突击的威力也大大提升。
355 巨型钳蟹	 EN_355  355  3 08	-----	250 0  0  	-*-*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 119	超巨型的钳蟹。\n两只巨钳为它提供了\n最强的攻防能力。
402 艾菲梅尔加	 BS_402  402  3 6	BxMHG2	1700 10 0 	---*|****|***-|----		10 0 0 ---- 0 ---- 0 ---- 135	生活在湖中的巨型水栖魔兽。\n会吐出强酸性的体液攻击敌人。
159 地狱乌贼		 EN_159  159  3 38	MHS+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  38	生活在地狱之海的海洋领主。\n其喷出的墨汁本身就威力超强。
160 贝尔塞巴布		 EN_160  160  3 48	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  39	在魔法大战中大发淫威的风之恶魔。\n会在飞行过程中落下雷击。

//森ザコ17
210 恐怖蘑菇		 EN_210  210  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   54	受到攻击就会播撒孢子的蘑菇人。\n经常混杂在普通的蘑菇中。
124 卡莎兰		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   10	很像兔子的魔物。非常胆小，\n有人靠近就会开始逃跑。
255 森林大耳兽	 EN_255  255  3 08	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ----   82	搬到森林中居住的大耳兽。\n比一般的大耳兽更为心灵手巧，\n兴趣是业余时间做木工。
128 木制战车	 EN_128  128  3 12	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   13	由大耳兽所操纵的\n老式木制战车，\n可惜没装备任何武器。
223 青椒人		 EN_223  223  3 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   67	有人为其浇水就很高兴的蔬菜人。\n由于被小孩子们所讨厌，\n所以有些愤世嫉俗。
224 番茄人	 EN_224  223  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   68	有人为其浇水就很高兴的蔬菜人。\n会与其他蔬菜人合力进行攻击。
201 疯狂魔花	 EN_201  201  3 07	B4		0   0  0  	----|----|----|---*		0 0	0 ---- 0 ---- 0 ----   46	生长在金暗之森中的魔花。\n受到刺激就会喷射毒气，\n还能将种子如子弹般射出。
268 森林岩背蛙	 EN_268  134  3 11	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   90	开始在陆地上生活的\n伪装成茶色岩石的岩背蛙。\n会从口中向敌人吐出体液。
303 莫萨莫萨		 EN_303  303  3 12	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  104	紧急时会产下卵型炸弹的小型魔物。\n即便是自己也无法将之\n与真正的蛋区分清楚。
218 风微子		 EN_218  218  3 09	H+T4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   62	掌管风的精灵结晶体。\n主食为花的种子。
219 兔斯基	 EN_219  219  3 09	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   63	能边传送边用魔法弹攻击。\n并非穿ＣＯＳ服之人，\n而是兔子的亚人化种。
256 木貂	 EN_256  123  3 10	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   83	会使用空气刃，\n居住在森林中的白貂。\n以晒成小麦色的皮为傲。
104 阿巴顿		 EN_104  104  3 13	-----	0   0  0 	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ----   04	拥有结实的身体与\n能够引起地震的蛮力\n只是反应相对迟钝。
312 绿色啫喱	 EN_312  312  3 08	H+T2	25  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  110	由土壤中腐烂的鳞茎所\n演变而来的魔物。\n闻上去有一股茶香。
150 寄生蜘蛛		 EN_150  150  3 08	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   29	腿部细长的蜘蛛型魔物。\n会寄生到接触到的生物上，\n吸收其精力。
227 大耳兽骑士	 EN_227  227  3 13	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   71	穿着骑士铠甲的大耳兽。\n用剑与盾摆好架势后\n展开的冲锋攻击总是能出人不意。
228 大耳兽达人		 EN_228  228  3 15	MH---	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   72	在修行中激发出其\n潜在能力的大耳兽达人。\n但总是固执地追逐猎物。

//森ボス9
358 恐怖毒菇	 EN_358  358  3 10	-----  	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 121	吸收大量孢子后巨大化的恐怖蘑菇。\n会散播大量带毒孢子。
365 莫萨莫萨之王 EN_303  365  3 13	------	0   0  0   	----|----|----|----		10 0 0 ---- 0 ---- 0 ---- 126	莫萨莫萨的突然变异种。\n会以超高频率产下卵型炸弹。
366 超级蠕虫	 	 EN_204  366  3 13	K2		200 0  0   	---*|****|----|----		10 0 0 ---- 0 ---- 0 ---- 127	幸运地避开了天敌，\n生存很长时间后的蠕虫型态。\n很快就能完成下一次进化。
126 巨型蝴蝶		 EN_126  126  3 11	M2		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 11	非常凶猛的大型魔虫。\n会从口中发出引起旋风的魔法。
353 大耳兽之王	 EN_353  353  3 15	-----	250 0  0   	---*|*--*|----|----		10 0 0 ---- 0 ---- 0 ---- 117	自称是大耳兽们的王。\n绝不背对敌人，逃跑时\n也是面朝敌人后退的。
401 深渊妖花	 BS_401  401  3 11	BxK2	500 0 0 	---*|****|***-|**-*		10 0 0 ---- 0 ---- 0 ---- 134	直接捕食野兽的深渊妖花。\n使用无数的藤蔓捕获猎物。
161 阿修罗菇		 EN_161  161  3 39	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  40	魔王栽培的蘑菇型生物。\n会放出无数孢子袭击猎物。
165 小型阿修罗菇	 EN_165  165  3 34	MHBx	100 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  44	由阿修罗菇的孢子所生出的分身。\n其敏捷的速度完全超乎常人想象。
317 邪水龙	 EN_317  317  3 49	MHS+	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 113	人称『邪水龙』。\n能自由操纵其体力无穷无尽的水流。

//塔ザコ10
316 红色啫喱	 EN_316  316  3 09	S2K+	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 112	在进行液态熔岩冷却实\n验时诞生的突然变异体。\n其身上散发出烧焦橡胶的臭气。
226 消防大耳兽 EN_226  226  3 09	Kx		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  70	身穿完全防火服装的大耳兽。\n使用扳手的攻击颇具威力。
147 黄泉龟		 EN_147  147  3 11	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  28	受到伤害就会膨胀，\n最后发生爆炸的大龟。\n只要不攻击它就没危险。
103 食人魔			 EN_003  003  3 09	-----	0   0  0 	----|-**-|----|----		0 0	0 ---- 0 ---- 0 ----  03	以棍棒为武器，力大无穷的魔族。\n有时还会防御攻击并展开反击。
215 火微子		 EN_215  215  3 10 	S4K+	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  59	掌管火焰的精灵结晶体。\n主食为烛火。
115 科罗尼		 EN_115  115  3 10	B2		0   0  0 	---*|***-|-*--|----		0 0	0 ---- 0 ---- 0 ----  08	体内积存着火球的生物。\n动作迅速，有时还会将\n火球喷射出来。
135 大口花	 EN_135  135  3 10	B4		0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ----  18	会用巨大的嘴将敌人吸到身边，\n在对方无法回避的距离发射子弹，\n可以说是一种相当狡猾的生物。
212 炎之魔人		 EN_212  212  3 11	S2K+	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  56	由火焰聚集形成的魔人。\n会使用火球与瞬间移动\n来玩弄敌人。
225 火鸡		 EN_225  225  3 11	S2K+	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  69	『火焰鸟』的亚种。\n受到巨大伤害时\n会逃跑。
131 蒸汽战车	 EN_131  131  3 13	B2HH	0   0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ----  15	以蒸汽为动力的铁甲战车。\n常用其铁壁般的身体进行冲锋攻击。

//塔ボス6
361 巨型红色啫喱 EN_361  361  3 11	K+S2	100 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 123	众多红色啫喱合体后形成的魔物。\n与其体重不符的是动作非常迅速。
360 巨型科罗尼 EN_360  360  3 12	B2		200 0  0 	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 122	内含火焰结晶体的巨型科罗尼。\n其受到攻击就会喷出巨型火球。
362 大火鸡	 EN_362  362  3 16	S2K+	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 124	以传说中的火焰鸟为目标的胖火鸡。\n性格非常凶暴。
407 法布尼尔	 BS_407  407  3 12	KHS2	1000 0 0 	---*|****|**--|----		10 0 0 ---- 0 ---- 0 ---- 138	高级魔族所驾驭的火龙。\n能在空中喷出巨大的火球，\n将地面上的一切燃烧殆尽。
164 火凤凰	 EN_164  164  3 40	MHK+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  43	无愧于『火焰鸟』称号的魔鸟。\n会使用火焰之雨将现实化为地狱。
163 哨兵		 EN_163  163  3 50	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  42	魔法大战时代人类所创造的\n战斗用人型兵器。其火力\n能轻松毁灭城镇。

//城ザコ22
155 泥怪		 EN_155  155  3 14	GHM2	0   0  0 	----|--*-|----|---*		0 0	0 ---- 0 ---- 0 ----   34	有生命的泥怪。\n隐藏在沼泽中伺机发动奇袭。
222 丧尸			 EN_222  222  3 13	K2MH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   66	由于对生者的嫉妒而复苏的丧尸。\n会从土地中爬出，围攻猎物。
267 黄金蝙蝠	 EN_267  267  3 13	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   89	由于死者的怨念而凶暴化的蝙蝠。\n能发出麻痹神经的强力超音波。
276 鬼火 EN_276  276  3 14	K+S4	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   95	生活在黑暗中的灵魂。\n吸取火属性魔法作为自身能源。
313 魔导士		 EN_313  313  3 15	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  111	能自由使用传送\n与雷球魔法的魔导士。\n帽上的切口是其留的。
220 无头骑士		 EN_220  220  3 13	B2		50  0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ----   64	以诅咒为动力盔甲。\n混在普通的盔甲中为城堡\n排除侵入者的威胁。
260 巴莎兰		 EN_124  260  3 14	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   84	用钢铁头盔保护身体的卡莎兰。\n能将耳朵与尾巴也缩到头盔之中，\n防御无懈可击。
221 木制大耳兽		 EN_221  221  3 14	K2		100 0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ----   65	大耳兽搭乘的木制兵器。\n会扔出右手的铁球进行攻击。\n特别易燃，故严禁烟火。
309 重装食人魔	 EN_309  003  3 14	-----	0   0  0 	----|-*--|----|----		0 0	0 ---- 0 ---- 0 ----  108	穿上铠甲提升防御力的食人魔。\n盔甲中非常闷热，似乎令人难以忍受。
138 惩罚者	 EN_138  138  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   21	地牢中的处刑者。\n能劈下大斧造成冲击波。
140 地狱车轮	 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   23	由鼠型魔物操纵的车轮。\n切勿被其可爱的外表吸引\n而遭到碾压。
230 宝箱怪		 EN_230  230  3 13	B2Mx	0   0  0  	-***|----|----|----		0 0	0 ---- 0 ---- 0 ----   74	伪装成宝箱的魔物。\n受欲望诱惑的话就会尝到苦头，\n这也是冒险的基本常识。
264 幼年魔虫	 EN_264  203  3 12	-----	-50 0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   86	虽然没有成虫的防御力和繁殖能力，\n但是一拥而上时同样十分恐怖。
263 魔虫		 EN_263  263  3 16	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   85	使用坚硬的身体扑向对手的魔虫。\n在濒死时会产下两只幼虫。
265 金属啫喱	 EN_265  311  3 13	S+K2	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   87	由魔族精制而成的\n具有生命的液体金属。\n但含有大量对人体有害的物质。
266 弹簧蜥蜴		 EN_266  302  3 14	K2		0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ----   88	极具弹力的蜥蜴型魔物。\n利用高超的运动能力\n从空中攻击猎物。
136 黑貂	 EN_136  136  3 14	MH		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   19	使用两把镰刀直取入侵者\n首级的黑貂。其敏捷性超高。
229 万能女仆	 EN_229  229  3 14	B2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   73	在蒙布利亚城中严守礼仪的\n女仆机器人。有在行礼后\n才开始战斗的习惯。
269 变异壶怪	 EN_269  269  3 15	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   91	变异了的壶怪。\n外表虽与普通壶怪一样，\n但能力相差悬殊。
277 魔导兔斯基 EN_277  219  3 15	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   96	非常胆小的魔导兔斯基。\n会使用魔法阻止对手接近，\n趁机利用传送魔法逃跑。
278 攻城战车	 EN_278  131  3 16	B2HH	50  0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   97	魔族开发的攻击兵器。\n其攻防一体的冲锋攻击\n曾经攻陷过无数城镇。
364 巨型壶怪	 EN_364  364  3 18	B2MH--	200 0  0 	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 125	极其巨大的壶怪。\n体内有一个稍微\n小一些的同类。
367 大型衍生壶怪	 EN_367  364  3 18	B2MH--	100 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？//较大的壶怪。\n体内有一个稍微\n小一些的同类。
368 特殊衍生壶怪	 EN_368  364  3 18	B2MH--	0 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？//特殊的壶怪。\n体内有一个稍微\n小一些的同类。
369 小型衍生壶怪	 EN_369  369  3 18	B2MH--	-50 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？//极小的壶怪。\n但是体内啥都没有。

//山ザコ15
273 雪山食尸鸟		 EN_273  273  3 16	TxM2	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   92	吞食遇难者尸体的魔鸟。\n据说坚硬的喙可以用来\n捣碎死者的骨头。
109 流弹岩石	 EN_109  109  3 17	-----	0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ----   05	能向空中发射炮弹的岩石。\n原本只在狩猎时使用，\n经过魔族改造后才变成现在的样子。
274 雪貂	 EN_274  123  3 17	K2MH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   93	有时会被附近的村民称\n为『妖精』的雪貂。\n其体色比白貂还要白。
275 雪山蛙	 EN_275  134  3 17	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   94	在寒冷季节活动的大型青蛙。\n融化的雪水在其后背上结冰，\n其强度不可小觑。
111 朱雀			 EN_111  111  3 18	Hx		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   06	从空中射出羽毛进行攻击的怪鸟。\n还能拍打翅膀引起旋风。
144 空降貂	 EN_144  144  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   25	进化出可以自由飞行的尾巴，\n能够从高空向下投掷炸弹的熊。
231 幼年雪人	 EN_231  231  3 13	SHHH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   75	幼年雪人。\n会向对手投掷香蕉。\n但浪费食物是不对的。
213 雪人		 EN_213  213  3 20	SHHH	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   57	别名『杀手猿』。\n会使用蛮力袭击人类。\n对其子女相当地溺爱。
282 灯笼怪 EN_282  282  3 19	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  133	伪装成内藏物品的灯笼的魔物。\n与欲望的地方就有此魔物存在。
372 小型灯笼怪	 EN_372  372  3 18	B2MH	50  0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  130	伪装成小型灯笼的魔物。\n一般攻击很难命中到它。
132 独眼稻草人	 EN_132  132  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   16	手持危险的巨大菜刀的稻草人。\n因过度执着于保护农田而变成了魔物。
141 炼狱车轮	 EN_141  141  3 15	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   24	车轮改由两只鼠型魔物操纵，\n速度与精度均得到大幅提升，\n还可以自由转向。
297 钢铁大耳兽	 EN_297  297  3 20	K2		150 0  0  	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ----  102	大耳兽制作的强力铁甲兵器。\n集当今『大耳兽科技』大成的作品。
294 死之旅鼠	 EN_294  294  3 18	-----	75  0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  101	由大型魔鼠操纵的大车轮。
281 神秘黑子	 EN_281  281  3 21	MxG2	200 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 100	由完全免疫魔法的物质\n构成的神秘生命体。\n常使用魔法攻击四周敌人。

//山ボス3
370 温泉朱雀	 EN_370  370  3 18	HxMH	200 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 131	在星降之里的温泉中长大的朱雀。\n扇动翅膀足以引发飓风。
371 巨型雪人	 EN_371  371  3 18	MH		200 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 132	沉睡在深山中的雪人。\n因感觉到大陆的异常感而苏醒。
405 嘉鲁卡利昂	 BS_405  405  3 19	Gx		450	8  0 	---*|****|**--|----		10 0 0 ---- 0 ---- 0 ---- 137	守护『月·异世界』的钥匙的巨岩\n神龙。掌中握有能引发雷电的魔石。

//月ザコ9
145 扑克兵	 EN_145  145  3 20	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   26	能自由操纵身体中的卡牌\n进行战斗的扑克型魔物。\n其身上的牌不分正反面。
151 魔石士兵		 EN_151  151  3 20	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   30	以蓝色魔石为核心制造的人型士兵。\n常用诅咒之枪与激光束进行攻击。
146 警卫	 EN_146  146  3 21	MH		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   27	用白铁制成人型士兵。\n豪爽地挥舞双手武器进行战斗。
279 月冥火	 EN_279  279  3 19	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   98	在月之世界中丧命之人最后的下场。\n透过对生者的憎恨来保持其形态。
153 棋·兵			 EN_153  153  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   32	酷似国际象棋棋子的魔物。\n会与大量同种魔物一起包围敌人。
152 棋·马			 EN_152  152  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   31	酷似国际象棋棋子的魔物。\n只顾着对射程范围内的\n敌人展开突击。
154 棋·车			 EN_154  154  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   33	酷似国际象棋棋子的魔物。\n动作迟缓，但跳起后的\n践踏攻击极具威胁。
280 暗之恶魔		 EN_280  280  3 24	-----	100 0  0  	----|*---|----|----		0 0	0 ---- 0 ---- 0 ----   99	暗之元素的结晶体。\n可自由隐形，并使用\n暗之魔法攻敌不备。
304	月之末裔	 EN_304  304  3 25	TH		0  0  0   	----|----|----|*---		0 0 0 ---- 0 ---- 0 ----  105	从远古时代生存至今，\n完成了进化的强大古代生物。\n常以岩石炮弹攻击敌人。

//月ボス1
