/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
216 あーす			 EN_216  216  3 02	T+H4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   60	地を司る精霊の結晶体。\n主食は鉱石の欠片。
209 ごーれむ		 EN_209  209  3 03	B2		100 0  0  	---*|*-*-|----|----		0 0	0 ---- 0 ---- 0 ----   53	魔術で作られた石人形。\n地面を殴って衝撃波を発生させる。
101 はこむかで		 EN_101  101  3 03	-----	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   02	废棄ブロックが連なって\n魔物と化したモノ。\n高速のスピンアタックを使う。
123 しろおこじょ	 EN_123  123  3 03	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   09	かまいたちを\nブーメランのように投げる\n魔力を持ったおこじょ。
203 わーむ			 EN_203  203  3 03	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   47	仲間と力をあわせて飛びかかる虫。\n死の間際に子供を産む習性を持つ。
112 地雷岩怪		 EN_112  112  3 03	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   07	ダンジョンの地面に生える地雷。\n時折爆風を発生させるため、\n注意が必要。
139 すなもぐら		 EN_139  139  3 03	-----	0   0  0 	---*|----|----|----		0 0	0 ---- 0 ---- 0 ----   22	砂の中で暮らすモグラのモンスター。\n砂を巻き上げて攻撃する。

//废坑ボス6
350 おおあおじぇりー EN_350  350  3 03	S+K2	250 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 114	何匹ものアオジェリーが\n合体して出来たもの。\n体重に任せた攻撃は強力。
357 ばっとおじさん	 EN_357  357  3 04	M2   	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 120	闇で力を蓄えた巨大コウモリ。\n得意の超音波は\n人一人を吹き飛ばす程の力を得た。
352 べびーごーれむ	 EN_352  352  3 05	-----	50  0  0   	----|----|----|----		10 0 0 ---- 0 ---- 0 ---- 116	ゴーレムを作る際に、\n余った石材で作ったもの。\n気合だけは十分。
403 アークシェロブ	 BS_403  403  3 03	BxGxMxKx 900 0 0	---*|****|**--|----		10 0 0 ---- 0 ---- 0 ---- 136	废坑の奥に巣を持つ巨大な闇蜘蛛。\n肥大化した六本足で大地を揺らす。
158 ヒュドラ		 EN_158  158  3 37	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  37	『双頭の地竜』と呼ばれ、\n二つの頭から\n交互に火の玉を撃ちだす。
162 ナイトロード	 EN_162  162  3 47	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  41	真祖の血統から外れた\n後天的な吸血鬼たちの王。\n妄執に支配されている。

//神殿ザコ11
251 ばっとさん		 EN_251  251  3 05	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   81	魔族の使い魔の一種。\n聴覚を狂わせる超音波で\n小さな獲物を簡単に仕留める。
205 しびれくらげ	 EN_205  205  3 04	K2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   49	逃げながら放電する\nくらげのモンスター。\n触手に触れないように注意。
302 とびいもり		 EN_302  302  3 04	K2		0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ----  103	四六時中バネの様に跳ねる\n奇妙なイモリ。　歩行も殆ど行わず、\n跳ねながら移動する。
168 そーどふぃっしゅ EN_168  168  3 04	SH		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   45	全身刃物で出来た魔の魚。\n気性が荒く、\n攻撃すると怒って追跡してくる。
211 しびれまんた	 EN_211  211  3 06	K2SH	75  0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   55	帯電体質を持つ魔獣。\n性格は人懐こいが、\n触れると感電してしまう。
134 いわがえる		 EN_134  134  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   17	表面が岩のように硬い蛙。\n遠距離－近距離の攻撃を\n巧みに使い分ける。
250 こぼるてす		 EN_250  208  3 05	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ----   80	花飾りがチャームポイントの、\nメスの大耳兽。　オスより凶暴。
217 あくあ			 EN_217  217  3 05 	S+K4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   61	水を司る精霊の結晶体。\n主食は水中の泡。
127 がにめで		 EN_127  127  3 05	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   12	潮を発生させる力を持つ\nカニ型のモンスター。\n前にも歩くので注意。
137 つぼみみっく	 EN_137  137  3 06	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   20	壶に擬態したモンスター。\n近づくと突然動きだし、\n冒険者の手に噛み付く。
129 わーしゃーく	 EN_129  129  3 06	-----	50  0  0 	-*--|--*-|----|----		0 0	0 ---- 0 ---- 0 ----   14	獰猛なサメの半魚人。\n恐ろしいキバで獲物に襲い掛かる。

//神殿ボス6
351 えれくとくらげ	 EN_351  351  3 06	K2		250 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 115	拾った物を食べて\n変异を起こしたしびれくらげ。\n纏う電圧は通常の数十倍。
354 きらーふぃっしゅ EN_354  354  3 07	K2SH	250 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 118	他の魚を際限なく捕食し、\n巨大に育ったそーどふぃっしゅ。\n突撃の威力が増している。
355 がにめーでー	 EN_355  355  3 08	-----	250 0  0  	-*-*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 119	超巨大ながにめで。\n二本のハサミに\n最強の防御力を得た。
402 エフェメルガ	 BS_402  402  3 6	BxMHG2	1700 10 0 	---*|****|***-|----		10 0 0 ---- 0 ---- 0 ---- 135	湖を住処とする巨大な水棲魔獣。\n強酸性の体液を吐き出し、敵を襲う。
159 クラーケン		 EN_159  159  3 38	MHS+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  38	地獄の海に住む海の王。\n強烈な勢いの墨は\nそれ自体が強力な攻撃となる。
160 ベルゼバブ		 EN_160  160  3 48	MH		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  39	魔法大戦で猛威を振るった\n風の悪魔。　飛びながら雷を落とす。

//森ザコ17
210 またんご		 EN_210  210  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   54	叩くと胞子をまきちらすキノコ人間。\n普通のキノコにまぎれてしまう。
124 けさらん		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   10	丸いウサギに似た魔物。\n非常に臆病で、近づくと逃走を図る。
255 もり大耳兽	 EN_255  255  3 08	-----	50  0  0    ----|----|----|----		0 0	0 ---- 0 ---- 0 ----   82	森の中に住処を移した大耳兽。\n通常より手先が器用で、\n日曜大工が趣味。
128 ちゃりおっと	 EN_128  128  3 12	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   13	大耳兽の操縦する、\nこだわりの木製戦車。\n武器の類は積んでいない。
223 ぴーまん		 EN_223  223  3 06	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   67	水をあげると喜ぶ野菜人。\n小さな子供に嫌われて\nやさぐれ気味。
224 とまとにあん	 EN_224  223  3 07	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   68	水をあげると喜ぶ野菜人。\n他の野菜人と力を合わせて\n攻撃する。
201 まっどふらわー	 EN_201  201  3 07	B4		0   0  0  	----|----|----|---*		0 0	0 ---- 0 ---- 0 ----   46	金闇の森に自生する魔花。\n刺激を受けるとガスを噴射し、\n種子の弾丸を撃つ。
268 もりいわがえる	 EN_268  134  3 11	B2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   90	陸での生活を始め、\n茶色く擬態したいわがえる。\n口から体液を吐き掛ける。
303 もさもさ		 EN_303  303  3 12	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  104	緊急時に卵爆弾を産む小動物。\n自分でも本物の卵と\n見分けられないという。
218 すぷらいと		 EN_218  218  3 09	H+T4	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   62	風を司る精霊の結晶体。\n主食は花の種。
219 わーらびっと	 EN_219  219  3 09	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   63	空間移動しながら魔法弾を\n撃ってくる。　着ぐるみではなく、\nウサギの亜人化種。
256 もりおこじょ	 EN_256  123  3 10	MH		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   83	カマイタチを会得した、\n森に暮らすおこじょ。\n小麦色の日焼け肌が自慢。
104 あばどん		 EN_104  104  3 13	-----	0   0  0 	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ----   04	決して怯まない頑丈な巨体に\n地震を起こすほどの\n怪力を備えた魔獣。　でも鈍い。
312 みどじぇりー	 EN_312  312  3 08	H+T2	25  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  110	土の中で腐った球根が\n魔物と化したもの。\n抹茶の香りがする。
150 あるけにー		 EN_150  150  3 08	-----	0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   29	細長い足のクモの魔物。\n触れたものに寄生し、\n精力を吸収する。
227 大耳兽骑士	 EN_227  227  3 13	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   71	騎士の鎧を着た大耳兽。\n剣と盾を構えたあとの\n突進攻撃で敵の意表を突く。
228 こぼるたん		 EN_228  228  3 15	MH---	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   72	修行の末、己の潜在能力を\n引き出した達人大耳兽。\n獲物を執拗に追い回す。

//森ボス9
358 てんぐまたんご	 EN_358  358  3 10	-----  	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 121	胞子を集めて肥大化したまたんご。\n大量の毒胞子を振りまく。
365 こうていもさもさ EN_303  365  3 13	------	0   0  0   	----|----|----|----		10 0 0 ---- 0 ---- 0 ---- 126	もさもさの突然変异種。\n常に高い頻度で\n爆弾卵を産み続ける。
366 めがわーむ	 	 EN_204  366  3 13	K2		200 0  0   	---*|****|----|----		10 0 0 ---- 0 ---- 0 ---- 127	運良く天敵にも会わず、\n長い間生きのびた姿。\n次の段階への進化が間近。
126 ばたふらい		 EN_126  126  3 11	M2		200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 11	極めて獰猛な大型の魔蟲。\n口から竜巻を起こす\n魔法を発射する。
353 大耳兽きんぐ	 EN_353  353  3 15	-----	250 0  0   	---*|*--*|----|----		10 0 0 ---- 0 ---- 0 ---- 117	自称－大耳兽達の王。\n決して敵に背は見せない。\n逃げるときは後ろ歩き。
401 アビスフラワー	 BS_401  401  3 11	BxK2	500 0 0 	---*|****|***-|**-*		10 0 0 ---- 0 ---- 0 ---- 134	生きたまま獣を捕食する\n魔界の妖花。\n無数のツタで獲物を狩る。
161 アスラタケ		 EN_161  161  3 39	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  40	魔王によって栽培された\nキノコ型生命体。\n胞子を無限に飛ばして獲物を襲う。
165 コアスラタケ	 EN_165  165  3 34	MHBx	100 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  44	アスラタケの胞子から\n生まれた分身。　キノコとは\n思えない程のスピードを持つ。
317 レヴィアタン	 EN_317  317  3 49	MHS+	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 113	『邪水龍』の名を持つ龍。\n体内にある無限の水を\n自在に操ることが出来る。

//塔ザコ10
316 あかじぇりー	 EN_316  316  3 09	S2K+	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ---- 112	マグマを固めずに\n冷やす実験で生まれた突然変异種。\n焼けたゴムの臭いがする。
226 火焰大耳兽 EN_226  226  3 09	Kx		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  70	炎を完全にを防ぐ耐火服を\n着込んだ大耳兽。\nスパナ攻撃はなかなかの威力。
147 あーけろん		 EN_147  147  3 11	B2		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  28	危害を加えると膨張し、\n最終的に大爆発する大亀。\n攻撃しなければ無害。
103 大耳兽			 EN_003  003  3 09	-----	0   0  0 	----|-**-|----|----		0 0	0 ---- 0 ---- 0 ----  03	棍棒を振り回す力自慢の魔族。\n攻撃をはじいて反撃してくる事も。
215 ふれいむ		 EN_215  215  3 10 	S4K+	0	0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  59	火を司る精霊の結晶体。\n主食はロウソクの火。
115 ころにー		 EN_115  115  3 10	B2		0   0  0 	---*|***-|-*--|----		0 0	0 ---- 0 ---- 0 ----  08	中に火球が溜まった生物。\nカサカサと素早く動き、\n時折中身を噴出する。
135 おおぐちぼや	 EN_135  135  3 10	B4		0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ----  18	巨大な口で吸い寄せ、\n逃げられないようにしてから\n弾丸を放つ、狡猾な生物。
212 いふりーと		 EN_212  212  3 11	S2K+	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  56	炎が集まり生まれた魔人。\n火炎弾とワープ移動で\n敵を翻弄する。
225 ひのとり		 EN_225  225  3 11	S2K+	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  69	かの『火焔鳥』の亜種。\n大ダメージを受けると\n逃げ出すチキンハート。
131 すたんぴーど	 EN_131  131  3 13	B2HH	0   0  0 	*--*|--*-|----|----		0 0	0 ---- 0 ---- 0 ----  15	蒸気机関で走る鉄巨人。\n鉄壁のボディで突進攻撃を行う。

//塔ボス6
361 おおあかじぇりー EN_361  361  3 11	K+S2	100 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 123	何匹ものアカジェリーが\n合体して出来たもの。\n重量に反して素早い。
360 ぐれーところにー EN_360  360  3 12	B2		200 0  0 	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 122	火の結晶体を中に入れて\n巨大化した。　攻撃すると\n巨大な火の玉を噴き出す。
362 おおひのとり	 EN_362  362  3 16	S2K+	200 0  0  	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 124	伝説の火焔鳥を目指して\n激太りしたひのとり。\n性格が凶暴に。
407 ファブニール	 BS_407  407  3 12	KHS2	1000 0 0 	---*|****|**--|----		10 0 0 ---- 0 ---- 0 ---- 138	高位魔族の使役する火竜。\n飛ぶだけで凄まじい熱気を発し、\n地上を焼き尽くす。
164 フェニックス	 EN_164  164  3 40	MHK+	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  43	『火焔鳥』の名に恥じぬ\n姿を持つ魔鳥。\n火の雨で現世を地獄と化す。
163 センチネル		 EN_163  163  3 50	MHBx	200 0  0   	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ----  42	魔法大戦時に人間が造った\n戦闘人形。　町一つを簡単に\n滅ぼす火力を積んでいる。

//城ザコ22
155 まっどねす		 EN_155  155  3 14	GHM2	0   0  0 	----|--*-|----|---*		0 0	0 ---- 0 ---- 0 ----   34	生命の宿る泥の怪物。\n沼に隠れて奇襲攻撃をしかける。
222 ぞんび			 EN_222  222  3 13	K2MH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   66	生者を羨む動き回る屍。\n地から這い出て来て、\n群れで獲物を襲う。
267 おうごんばっと	 EN_267  267  3 13	M2   	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   89	死者の怨念で凶暴化したコウモリ。\n神経を麻痺させる\n強力な超音波を放つ。
276 うぃるおうぃすぷ EN_276  276  3 14	K+S4	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   95	闇に生きる霊魂。\n炎の魔法を養分として取り込む。
313 うぃざーど		 EN_313  313  3 15	MHG2	0   0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  111	転位と雷球の魔法を\n自在に操る魔術師。\n帽子の切れ目は自分で入れたもの。
220 でゅらはん		 EN_220  220  3 13	B2		50  0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ----   64	呪いによって動き出した甲冑像。\n他の鎧に紛れ、侵入者から城を守る。
260 ぱさらん		 EN_124  260  3 14	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   84	鋼鉄の兜で体を覆ったけさらん。\n耳と尻尾を中に隠した\n完全防御は鉄壁。
221 でくぼっと		 EN_221  221  3 14	K2		100 0  0  	---*|--*-|----|----		0 0	0 ---- 0 ---- 0 ----   65	大耳兽が搭乗する木人。\n右手の鉄球をブン回す。\n火気厳禁。　よく燃えます。
309 おーがにくす	 EN_309  003  3 14	-----	0   0  0 	----|-*--|----|----		0 0	0 ---- 0 ---- 0 ----  108	鎧を纏って防御力を増したおーが。\n中は暑すぎてやってられないらしい。
138 ぱにっしゃー	 EN_138  138  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   21	地下牢の処刑人。\n振り下ろされる斧からは\n衝撃波が発生する。
140 じごくぐるま	 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   23	魔の鼠が操縦する車輪。\n可愛さに惑わされて\n轢かれないよう注意。
230 みみっく		 EN_230  230  3 13	B2Mx	0   0  0  	-***|----|----|----		0 0	0 ---- 0 ---- 0 ----   74	宝箱の姿のモンスター。\n欲をかいて近づくと\n痛い目を見るという冒険の基本。
264 ちびくろうらー	 EN_264  203  3 12	-----	-50 0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   86	成虫ほどの固さや繁殖力は無いが、\n大挙して人を襲う様は\n恐ろしいの一言。
263 くろうらー		 EN_263  263  3 16	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   85	硬い体で飛びかかる魔蟲。\n生命の危机を感じると\n子供を２匹も生み落とす。
265 めたじぇりー	 EN_265  311  3 13	S+K2	50  0  0  	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   87	魔族によって精製された、\n生きる液体金属。\n人体に有害な金属を数多く含む。
266 はねいもり		 EN_266  302  3 14	K2		0   0  0  	----|---*|----|----		0 0 0 ---- 0 ---- 0 ----   88	全身バネのイモリの魔物。\n高い運動能力で空から\n獲物を仕留める。
136 くろおこじょ	 EN_136  136  3 14	MH		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   19	鎌の二刀流で侵入者の首を狙う、\n真っ黒なおこじょ。　敏捷性が高い。
229 ばんのうめいど	 EN_229  229  3 14	B2		0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   73	ムーンブリア城に仕えていた\n梅ドロボ。　おじぎの後に\n戦闘開始する几帳面。
269 つぼみみんがー	 EN_269  269  3 15	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   91	つぼみみっくの上位種。\n通常のものと姿は同じだが、\n強さは段違い。
277 らびっとくらうん EN_277  219  3 15	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   96	とても臆病な魔法ウサギ。\n近づく者の動きを魔法で止め、\nすぐに転位して逃げる。
278 じゃがーのーと	 EN_278  131  3 16	B2HH	50  0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   97	魔族が開発した特攻兵器。\n攻防一体の突進攻撃で\n数々の町を侵略した。
364 まとろみみっく	 EN_364  364  3 18	B2MH--	200 0  0 	---*|****|-*--|----		10 0 0 ---- 0 ---- 0 ---- 125	極めて巨大なつぼみみっく。\n体内に、一回り小さい\n同種族が入っている。
367 まとろみみっく	 EN_367  364  3 18	B2MH--	100 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？//大きなつぼみみっく。\n体内に、一回り小さい\n同種族が入っている。
368 まとろみみっく	 EN_368  364  3 18	B2MH--	0 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？//特殊なつぼみみっく。\n体内に、一回り小さい\n同種族が入っている。
369 まとろみみっく	 EN_369  369  3 18	B2MH--	-50 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ----   0	？？？//極小のつぼみみっく。\n流石に中には\n何も入らない。

//山ザコ15
273 やまつつき		 EN_273  273  3 16	TxM2	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   92	遭難者の屍肉を貪る魔鳥。\n硬いくちばしは\n死体の骨を砕くのに使うという。
109 りゅうだんいわ	 EN_109  109  3 17	-----	0   0  0 	----|----|----|---*		0 0	0 ---- 0 ---- 0 ----   05	空中に砲弾をばら撒く岩。\n元は狩猟用だったものが\n魔族によって改造された。
274 ゆきおこじょ	 EN_274  123  3 17	K2MH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   93	近隣民には『妖精』と呼ばれる\nこともあるおこじょ。\nしろおこじょより白い。
275 ゆきやまがえる	 EN_275  134  3 17	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   94	寒い季節に活動する大蛙。\n雪が溶けて凍った背中は\n侮れない強度を持つ。
111 すざく			 EN_111  111  3 18	Hx		0   0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----   06	空中から鋭利な羽根弾を\nばら撒く怪鳥。\n羽ばたきで竜巻を起こす事も。
144 くまこぷたー	 EN_144  144  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   25	空が飛べるように尻尾が進化した熊。\n手の届かぬ空中から爆弾を投下する。
231 こどもいえてぃ	 EN_231  231  3 13	SHHH	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   75	子供のいえてぃ。\nバナナを投げつける。\n食べ物を粗末にしてはいけません。
213 いえてぃ		 EN_213  213  3 20	SHHH	100 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   57	別名「ですさるーん」。\n筋力に任せて人を襲う。\n子供思いだが少々過保護。
282 ちょうちんもどき EN_282  282  3 19	B2MH	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  133	アイテムが出るからと\n提灯に擬態したミミック。\n欲ある所に魔物あり。
372 ちびちょうちん	 EN_372  372  3 18	B2MH	50  0  0   	----|----|----|----		0 0 0 ---- 0 ---- 0 ----  130	子供サイズの提灯に擬態した魔物。\n攻撃がとても当てにくい。
132 いちもくれん	 EN_132  132  3 18	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   16	巨大包丁を持った危険なカカシ。\n畑を守りたい過度な想いで妖怪化。
141 れんごくぐるま	 EN_141  141  3 15	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   24	二匹で操縦することで\n速度と精度が上がった車輪。\nコーナリングも完璧。
297 ぶりきぼっと	 EN_297  297  3 20	K2		150 0  0  	---*|-**-|----|----		0 0	0 ---- 0 ---- 0 ----  102	大耳兽の超強力な鉄人。\n現時点における\n『大耳兽てくのろじー』の集大成。
294 ですれみんぐ	 EN_294  294  3 18	-----	75  0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----  101	魔の大鼠が操る大車輪。
281 にゅーとりの	 EN_281  281  3 21	MxG2	200 0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 100	魔法が全く通じない物質で\n特殊な体を持つ謎の物体。\n周囲に魔法攻撃を行う。

//山ボス3
370 おんせんすざく	 EN_370  370  3 18	HxMH	200 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 131	里の温泉の温かさに触れて\n大きく育ったすざく。\n羽ばたきの風は台風並み。
371 びっぐいえてぃ	 EN_371  371  3 18	MH		200 0  0   	---*|****|----|----		 0 0 0 ---- 0 ---- 0 ---- 132	山の奥深くで眠っていた山のヌシ。\n大陸の异常に感づいて目覚めた。
405 ガルガリオン	 BS_405  405  3 19	Gx		450	8  0 	---*|****|**--|----		10 0 0 ---- 0 ---- 0 ---- 137	《ルナ＝ムンドゥス》への鍵を守る\n大岩の神竜。\n拳に雷を生む魔石を持つ。

//月ザコ9
145 とらんぷまん	 EN_145  145  3 20	K2		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   26	体のカードを自在に操って戦う、\nトランプ型の魔物。\nカードに裏表がない。
151 そるじゃー		 EN_151  151  3 20	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   30	蒼い魔石を中心に作られた人形兵士。\n呪いの槍とレーザーを用いる。
146 がーでぃあん	 EN_146  146  3 21	MH		0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   27	ブリキ製の人形兵士。\n両手の武器を豪快に振り回して戦う。
279 くろうぃすぷ	 EN_279  279  3 19	-----	0   0  0  	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   98	月の世界で命を落とした者の\n成れの果て。\n生者への憎しみで姿を保つ。
153 ぽーん			 EN_153  153  3 21	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   32	盤ゲームの駒に似た魔物。\n相当な数の同族で群がり、\n敵を取り囲む。
152 ないと			 EN_152  152  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   31	盤ゲームの駒に似た魔物。\n射程圏内の敵に向かって\nひたすら突進する。
154 るーく			 EN_154  154  3 22	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   33	盤ゲームの駒に似た魔物。\n鈍いが、\nジャンプからの踏み潰しは脅威。
280 でーもん		 EN_280  280  3 24	-----	100 0  0  	----|*---|----|----		0 0	0 ---- 0 ---- 0 ----   99	闇の元素の結晶体。\n自在にその姿を消し、\n闇の魔法で不意を狙う。
304	むーんぶりーど	 EN_304  304  3 25	TH		0  0  0   	----|----|----|*---		0 0 0 ---- 0 ---- 0 ----  105	遥か昔から生き続け、\n強大な進化を遂げた古代生物。\n岩石弾を吐き出す。

//月ボス1
409 真扎哈鲁		 BS_406  406  3 25	Gx		1000	8  0 	---*|****|**--|----		10 22 0	---- 0	---- 0	---- 140	吸血鬼扎哈鲁の真の姿。\n圧倒的な魔力で次々と\n強力な魔法を繰り出す。

//要塞ザコ9
156 れぎおん－Ｒ	 EN_156  156  3 25	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ----   35	红い魔石を中心に作られた\n人形兵士。　混乱の槍と\n四方に放つレーザーで戦う。
